linkRateGbps,linkDelay,deviceMtuBytes,stopTimeSec,enableSird,useEcn,bdpPkts,sirdCreditBudgetPkts,sirdUnschThresholdPkts
400,4us,4064,0.5,0,0,200,300,200

targetBytes,dataRxBytes,msgFinishBytes,msgBeginCount,msgFinishCount,dataCompletionRatio,msgCompletionRatio,dataGoodputGbps,finishedGoodputGbps
1200000000,1200000000,1200000000,12,12,1,1,19.2,19.2

srcHost,dstHost,targetBytes,finishedBytes,completionRatio
1,2,100000000,100000000,1
1,3,100000000,100000000,1
1,4,100000000,100000000,1
2,1,100000000,100000000,1
2,3,100000000,100000000,1
2,4,100000000,100000000,1
3,1,100000000,100000000,1
3,2,100000000,100000000,1
3,4,100000000,100000000,1
4,1,100000000,100000000,1
4,2,100000000,100000000,1
4,3,100000000,100000000,1

srcHost,dstHost,dataRxBytes,dataRxRatio
1,2,100000000,1
1,3,100000000,1
1,4,100000000,1
2,1,100000000,1
2,3,100000000,1
2,4,100000000,1
3,1,100000000,1
3,2,100000000,1
3,4,100000000,1
4,1,100000000,1
4,2,100000000,1
4,3,100000000,1
