case,mean_goodput_gbps,mean_queue_max_pkts,p95_queue_max_pkts,mean_queue_mean_pkts
control,19.41941941941942,5.858858858858859,9.0,2.9294294294294296
no_ecn,19.45945945945946,189.22822822822823,199.0,94.61411411411412
